start,worktime,alltime,ratio
20240128223115,11,5230,0
20240129213019,1669,9759,17
20240130220951,2497,11578,22
20240131221931,649,5745,11
20240201200747,4496,16622,27
20240202202805,2082,14907,14
20240203091026,0,12667,0
20240203214727,0,10006,0
20240204214705,2710,9019,30
20240205212529,496,8943,6
20240206084045,0,503,0
20240206221029,0,8699,0
20240207212222,1689,9079,19
20240208202438,0,16614,0
20240209080555,0,7955,0
20240216220622,0,9584,0
20240217084356,1781,56301,3
20240218195441,3669,15108,24
20240219193933,3529,17323,20
20240220215745,3633,13555,27
20240221215715,1116,6495,17
20240222214331,1336,8780,15
20240223220147,0,6552,0
20240224220315,0,7282,0
20240225082115,1986,56675,4
20240226213810,1117,7157,16
20240227213857,1643,10193,16
20240228214216,3189,8697,37
20240229215125,1999,6910,29
20240301215717,0,9955,0
20240302082701,5055,58235,9
20240303091000,0,53143,0
20240304214730,2189,10133,22
20240305215722,2762,7145,39
20240306220151,1956,6993,28
20240307220207,2607,6583,40
20240308215930,0,7241,0
20240309091339,0,15391,0
20240309234701,0,4897,0
20240310085211,2934,52048,6
20240311220730,1965,10072,20
20240312220448,3932,9845,40
20240313220654,2473,9221,27
20240314220253,1967,7685,26
20240315220950,0,8787,0
20240316075444,3778,63269,6
20240317094540,3433,52068,7
20240318215903,1680,6890,24
20240319222527,2400,7366,33
20240320215851,4612,9271,50
20240321220343,4746,9597,49
20240322215946,0,7394,0
20240323100829,0,13761,0
20240323233107,0,5967,0
20240324104406,0,12804,0
20240324211722,0,9901,0
20240325215826,2256,6936,33
20240326220123,2289,8768,26
20240327215911,1143,9449,12
20240328220157,3369,9127,37
20240329215919,5161,10546,49
20240330101835,13927,57719,24
20240331100738,1479,51631,3
20240401220442,204,4075,5
20240402220104,1359,7970,17
20240403214428,0,5310,0
20240404105502,0,48551,0
20240405104713,0,64075,0
20240406124121,4741,43979,11
20240407220159,838,10289,8
20240408220258,4685,8462,55
20240409215813,2736,6184,44
20240410220348,4655,8144,57
20240411220659,1519,7160,21
20240412221442,4,15102,0
20240413112344,0,48443,0
20240414103644,0,13408,0
20240414204811,1644,13095,13
20240415220634,3974,7574,52
20240416220735,6844,10570,65
20240417220929,0,10147,0
20240418220742,2894,10598,27
20240419220411,2439,12030,20
20240420221256,1740,15793,11
20240421105109,4655,50716,9
20240422220141,2313,8739,26
20240423221822,3517,9456,37
20240424220345,3708,9938,37
20240425220537,4732,10196,46
20240426220550,4426,12357,36
20240427220021,2256,8570,26
20240428220710,2714,10648,25
20240429215839,2812,10214,28
20240430220506,4128,10191,41
20240501092420,13102,56331,23
20240502095559,12504,54618,23
20240503163658,142,4773,3
